N_Execucao;Tamanho;Tempo
1;10;0.000002
2;10;0.000001
3;10;0.000002
4;10;0.000003
5;10;0.000001
6;10;0.000003
7;10;0.000002
8;10;0.000001
9;10;0.000001
10;10;0.000001
1;100;0.000026
2;100;0.000035
3;100;0.000040
4;100;0.000020
5;100;0.000017
6;100;0.000018
7;100;0.000015
8;100;0.000014
9;100;0.000035
10;100;0.000030
1;1000;0.001803
2;1000;0.001311
3;1000;0.001314
4;1000;0.001082
5;1000;0.001067
6;1000;0.001299
7;1000;0.001697
8;1000;0.001816
9;1000;0.001220
10;1000;0.001148
1;10000;0.091502
2;10000;0.091719
3;10000;0.097759
4;10000;0.090371
5;10000;0.089608
6;10000;0.095486
7;10000;0.096895
8;10000;0.097069
9;10000;0.098109
10;10000;0.092005
1;100000;17.644460
2;100000;17.607334
3;100000;17.890271
4;100000;17.852327
5;100000;17.995301
6;100000;17.908373
7;100000;18.220893
8;100000;17.564397
9;100000;17.659883
10;100000;17.714864
