N_Execucao;Tamanho;Tempo
1;10;0.0000046580
2;10;0.0000045880
3;10;0.0000049290
4;10;0.0000047590
5;10;0.0000058810
6;10;0.0000047490
7;10;0.0000042480
8;10;0.0000045490
9;10;0.0000081050
10;10;0.0000049300
1;100;0.0001950570
2;100;0.0001961990
3;100;0.0001966000
4;100;0.0001975910
5;100;0.0001948970
6;100;0.0001872110
7;100;0.0001930730
8;100;0.0002007770
9;100;0.0002274380
10;100;0.0001907480
1;1000;0.0263540760
2;1000;0.0265915220
3;1000;0.0260327520
4;1000;0.0264133980
5;1000;0.0285884160
6;1000;0.0269691620
7;1000;0.0264116040
8;1000;0.0265782370
9;1000;0.0261037150
10;1000;0.0291417060
1;10000;3.2937474100
2;10000;2.9489003340
3;10000;2.9451247600
4;10000;2.9524723530
5;10000;2.9412503610
6;10000;3.1758156220
7;10000;3.1927537090
8;10000;3.9554108880
9;10000;2.9316916360
10;10000;2.9546746570
1;100000;311.3946701710
2;100000;311.2316120870
3;100000;318.8280799110
4;100000;330.8476137260
5;100000;329.0432942790
6;100000;332.4131396820
7;100000;322.3604138600
8;100000;321.3009228790
9;100000;331.0054725010
10;100000;327.3802940130
