N_Execucao;Tamanho;Tempo
1;10;0.000003
2;10;0.000003
3;10;0.000002
4;10;0.000003
5;10;0.000003
6;10;0.000003
7;10;0.000003
8;10;0.000003
9;10;0.000003
10;10;0.000003
1;100;0.000013
2;100;0.000013
3;100;0.000013
4;100;0.000012
5;100;0.000011
6;100;0.000012
7;100;0.000010
8;100;0.000013
9;100;0.000013
10;100;0.000013
1;1000;0.000170
2;1000;0.000131
3;1000;0.000099
4;1000;0.000165
5;1000;0.000154
6;1000;0.000142
7;1000;0.000130
8;1000;0.000122
9;1000;0.000118
10;1000;0.000164
1;10000;0.001329
2;10000;0.001354
3;10000;0.001524
4;10000;0.001230
5;10000;0.001186
6;10000;0.001329
7;10000;0.001976
8;10000;0.001202
9;10000;0.001179
10;10000;0.002044
1;100000;0.012854
2;100000;0.012417
3;100000;0.013275
4;100000;0.013404
5;100000;0.014080
6;100000;0.014215
7;100000;0.013270
8;100000;0.013153
9;100000;0.014473
10;100000;0.013005
